Date,Link,Message
2023-03-30 10:18:13,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7047069104062480384,Lucky Singh Shekhawat  pure duniya ko bata diya ...bhai😀
2023-03-29 15:59:46,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7046521751320576001,Congratulations Sachin bhai
2023-03-29 15:56:52,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7046398625236586497,Congratulations annaya
2023-03-28 04:50:38,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A25827-7046131003743961088,this fears me

2023-03-27 12:51:12,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7046066889751412737,Avi Chawla  bit curious does it behave the same flexibility and functionality similar to python run command and also with its execution?
2023-03-26 09:11:51,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A25827-7045582290206273536,Szymon Kowalik python always surprises
2023-03-23 15:37:04,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7043631417548795904,"Acid properties, time travel helps to achieve things  in delta lake Anandaraj Pandian"
2023-03-17 04:10:23,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7027596724437168129,"Vaibhav Verma
select sell_date,listagg(dist_pro,',') AS products,count(sell_date)as num_sold from (select distinct sell_date,product as dist_pro from Activities ) group by sell_date"
2023-03-13 11:52:35,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7041005253919481856,Krishna Chaitanya
2023-03-11 02:18:51,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7039911203912957953,#cfbr #freshersjobs  #maxshare

2023-02-01 09:40:47,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7024272169614393344,Reach++
2023-01-29 06:22:41,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7020568786885873665,My joke is taking longer than usual  to process as the resources are not enough Suraz Ghimire
2023-01-27 07:25:55,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7024576186953457664,Bitthal Khaitan  curious to know the second option people😟
2023-01-25 10:23:41,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7023835404990640128,Happy birthday Suraz Ghimire  bhai
2023-01-18 13:56:39,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7021144385413140480,More power to you 🙏Matthew Powers
2023-01-14 03:44:56,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7018784808361181184,Its something positive Note.... irrespective on uncertainity 
2023-01-12 06:22:20,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7019159639707590657,So satisfying
2023-01-10 05:32:11,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7013349100293107712,Chandrali Sarkar 
2023-01-10 05:29:53,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7013349100293107712, Chandrali Sarkar if we use flatmap all the statements comes under single list.
if i miss anything let me know..

2023-01-08 01:10:26,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7017418250317701120,"Set function makes the all the values to be stored  in sorted order so ""True""
Other one is ""False"" as the value refrences and not same"
2023-01-07 23:55:04,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017514395203227648,Congratulations bro👏
2023-01-05 16:44:41,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016787026716893184,"select * from (select emp_name, emp_dept, emp_sal,avg_sal ,dense_rank() over ( order by avg_sal desc) as dns_rnk from (select * from (select emp_name, emp_dept, emp_sal,avg(emp_sal) over (partition by emp_dept ) as avg_sal from emp_sal_check) order by avg_sal desc)) where dns_rnk=1"
2023-01-05 16:38:01,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016787026716893184,Lasitha Benaragama  pick up the highest average salary from department wise..
2023-01-05 15:29:53,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A12024092-7016787112939180032,"select * from (select emp_name, emp_dept, emp_sal,avg_sal ,dense_rank() over ( order by avg_sal desc) as dns_rnk from (select * from (select emp_name, emp_dept, emp_sal,avg(emp_sal) over (partition by emp_dept ) as avg_sal from emp_sal_check) order by avg_sal desc)) where dns_rnk=1"
2022-12-23 23:51:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7011962416217382913,#cfbr
2022-12-17 04:58:54,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7008785807926845440,Loved the illusion
2022-12-13 07:33:40,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7008048958371495937,Amitava Debnath it should have previous of one record  only...one is active and one is inactive..
Kindly explain if im wrong....👍
2022-12-13 03:35:45,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7008048958371495937,Why type-2 have dhoni
2022-12-05 02:26:56,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7005039349503320064,Most of them are answering tortoise…🐢
But ideally it should be both hand in hand..🤝
Moral Gyan 😜 TR Raveendra
2022-12-01 07:31:54,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7003961920470827008,kindly check this blog for answer 
https://medium.com/@sairamdgr8/acing-apache-spark-rdd-interview-questions-series-1-using-pyspark-96eb0b8aeb41
2022-12-01 07:31:34,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7003961920470827008,Chandrali Sarkar
kindly check this blog for answer 
https://medium.com/@sairamdgr8/acing-apache-spark-rdd-interview-questions-series-1-using-pyspark-96eb0b8aeb41
2022-11-23 15:39:22,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001178836759363584,Could you tell me about soda Marc Lamberti
2022-11-21 13:11:54,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7000408419677450240,Dil pe le liya🤣 Suraz Ghimire
2022-11-21 07:02:53,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7000055193690112000,USA--- United States of Ameerpet 😬
2022-10-27 14:39:29,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6990935944421945344,#support
2022-10-02 00:54:12,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6981810434446102529,Following
2022-09-27 00:05:32,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6980086291614838785,Congratulations Sreeja R
2022-09-19 14:15:19,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6977264185298612224,??
2022-09-17 03:23:28,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6973505980726743040,Same religious country fights so this didn't bumped...other wise it would have shaken the world badly....☹️ Bilaterally
2022-09-15 23:55:19,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6976231682781679616,Following 
2022-09-12 14:37:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6974751146993180672,#support 
2022-08-29 14:35:11,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6969990450074001408,Hopefully 🙏
2022-08-29 00:02:16,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6969613955065409537,Glad for the support.. Mitchell van Rijkom
2022-08-28 11:22:59,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6952956138476732416,Ranjith Gonugunta i tried to exted Mitchell van Rijkom post ..
in practical way..
kindly go through the reading if possible.
2022-08-28 11:19:49,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6952956138476732416,Mitchell van Rijkom adding some boost to this post...

https://www.linkedin.com/feed/update/urn:li:ugcPost:6969613955065409537?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3AugcPost%3A6969613955065409537%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29
2022-08-11 03:42:45,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963311666402922498,Sathish Kumar G  ❤️
2022-08-11 03:39:33,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963158311240183809,Thanks babai🤝
2022-08-07 13:02:37,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6961991986790760448,Balayya babu rocks in tech world as well😅
