Saved Date,Job Url,Job Title,Company Name
"3/12/22, 11:18 AM",http://www.linkedin.com/jobs/view/2927147664,Data Engineer (Big Data),Luxoft
"2/21/22, 5:18 PM",http://www.linkedin.com/jobs/view/2881175511,Senior Data Engineer,Deloitte
"2/21/22, 5:10 PM",http://www.linkedin.com/jobs/view/2927273029,AWS cloud data engineer,ContactPoint 360
"2/21/22, 4:35 PM",http://www.linkedin.com/jobs/view/2923857244,Data Engineer - AWS / Python / Spark / DB2 / ETL,JPMorgan Chase & Co.
"2/4/22, 9:58 AM",http://www.linkedin.com/jobs/view/2808011036,Data Engineer,McAfee
"2/22/22, 8:31 AM",http://www.linkedin.com/jobs/view/2900713942,Data Engineer,HTC Global Services
"6/29/20, 3:32 AM",http://www.linkedin.com/jobs/view/1926019095,Big Data Engineer,Abzooba
"5/21/22, 6:29 PM",http://www.linkedin.com/jobs/view/3077531947,Python Backend Engineer (FinTech / $14k),Randstad Singapore
"2/22/22, 5:18 PM",http://www.linkedin.com/jobs/view/2913341249,Data Engineer,VMware
"2/4/22, 9:56 AM",http://www.linkedin.com/jobs/view/2864775521,Data Engineer,Autodesk
"8/8/22, 1:21 AM",http://www.linkedin.com/jobs/view/3126016657,Data Analytics Engineer,McKinsey & Company
"2/20/22, 9:31 PM",http://www.linkedin.com/jobs/view/2916283778,Senior Data Engineer,"Nordcloud, an IBM Company"
"2/4/22, 9:56 AM",http://www.linkedin.com/jobs/view/2902146073,Data Engineer,NatWest Group
"3/12/22, 11:13 AM",http://www.linkedin.com/jobs/view/2951989096,"Data Engineer / Associate Data Engineer, Data Science",Singapore Tourism Board
"2/21/22, 5:29 PM",http://www.linkedin.com/jobs/view/2810394456,Data Engineer,TELUS
"9/28/22, 9:18 AM",http://www.linkedin.com/jobs/view/3279183784,Data Service Engineer ,NCS Group
"3/16/22, 4:54 PM",http://www.linkedin.com/jobs/view/2935601305,Data Engineer,"Refinitiv, an LSEG business"
"2/22/22, 5:35 PM",http://www.linkedin.com/jobs/view/2841006546,"Data Engineer, FinTech",foodpanda
"8/7/22, 8:26 PM",http://www.linkedin.com/jobs/view/3190155024,"Big Data Engineer (AWS, Python, Spark)",Randstad Singapore
"2/22/22, 2:47 AM",http://www.linkedin.com/jobs/view/2931158094,Cloud Data Engineer,Sterling
"2/22/22, 2:44 AM",http://www.linkedin.com/jobs/view/2924084021,Data Engineer,Serai
"5/21/22, 6:28 PM",http://www.linkedin.com/jobs/view/3072018164,Data Engineer,IBM
"2/24/22, 10:55 AM",http://www.linkedin.com/jobs/view/2884410159,Data Engineer for AI & Analytics,Nexthink
"3/18/22, 7:02 AM",http://www.linkedin.com/jobs/view/2977286332,Lead Data Engineer,AlphaLab Capital Group
"2/4/22, 9:58 AM",http://www.linkedin.com/jobs/view/2883087741,Data Engineer,Airbnb
"10/5/20, 10:23 AM",http://www.linkedin.com/jobs/view/2188909567,Software Engineer (ITSE05) - Big Data Developer with scala/spark,JPMorgan Chase & Co.
"12/6/21, 4:16 PM",http://www.linkedin.com/jobs/view/2829116996,Data Engineer ||,Mastercard
"12/4/21, 8:43 AM",http://www.linkedin.com/jobs/view/2816577956,Data Engineer,Salesforce
"3/13/22, 4:37 PM",http://www.linkedin.com/jobs/view/2953646591,Data Engineer,JPMorgan Chase & Co.
"2/22/22, 5:46 PM",http://www.linkedin.com/jobs/view/2928221596,Data Engineer,Analytix Power
"2/4/22, 9:57 AM",http://www.linkedin.com/jobs/view/2900036186,Data Engineer II,Expedia Group
"2/20/22, 9:32 PM",http://www.linkedin.com/jobs/view/2929429246,Senior Data Engineer (m/d/f) Start Up (remote),Jobs via eFinancialCareers
