Date,Type,Link
2023-03-29 16:03:36,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7046842020396470272
2023-03-29 15:59:37,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7046521751320576001
2023-03-29 15:56:35,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7046398625236586497
2023-03-27 23:54:27,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7046095612345274368
2023-03-27 23:45:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7046066889751412737?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7046066889751412737%2C7046172300051632128%29
2023-03-19 11:27:40,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7043058019634417664
2023-03-18 15:52:07,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7042491105887612928
2023-03-17 14:05:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7042488035048894464
2023-03-17 05:24:24,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7041761333393960960?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7041761333393960960%2C7041784634925297664%29
2023-03-16 16:36:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7042109157256101888
2023-03-16 14:56:02,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7039213593820626944
2023-03-14 02:58:09,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3990648-7041109498190577664
2023-03-12 23:49:50,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7040622424039579648
2023-03-11 16:43:08,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7040361421246779392
2023-03-11 02:19:06,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7039911203912957953
2023-03-04 09:05:54,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7037354191933087744
2023-03-04 02:58:40,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A12057217-7037245375497334787
2023-02-15 14:08:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7031486889987637248
2023-02-14 07:18:33,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7030915205693906945
2023-02-10 07:12:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7029661976582651904
