Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2023-03-16 11:18:15,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7042091691373170688,"Hi LinkedIn,""
""Python interview questions Series-3""
""Q:-Problem: Constructive algorithm""
""Scenario:""
""Write a function solution that given a string S consisting of N letters 'a' and/or 'b' return True when all the occurrences of letter 'a' are before all occurrences of letter 'b' and return False otherwise.""
""note:- string S is made up of characters 'a' and/or 'b'.""
""""
""#python #linkedinfamily #community #pythonforeverybody #python #pythonprogramminglanguage #interview #linkedin #pythoncoding #pythonlearning #python3 #pythondevelopers #pythontraining #help #datamarias #datamarians DataMarias #development #software #saiwritings #python3 #coding Python Institute Python""
""""
""help:- #stackoverflow #google ",https://link.medium.com/VA8qqx1hdyb,,MEMBER_NETWORK
2023-03-11 16:42:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7040361420667969536,"Understanding the famous Employee analytical Questions on SQL to be derived in pythonic way using PySpark""
""""
""#python #linkedinfamily #community #pythonforeverybody #python #pythonprogramminglanguage Python Software Foundation Python Development Group #datamarias #datamarians DataMarias #development #software #saiwritings #linkedin #databricks #sparkbyexamples""
""#pyspark #spark #etl #bigdata #bigdataengineer #PySpark #Python #Programming #Spark #BigData #DataEngeering #ETL #saiwritings #mediumwriters #blogger #medium #interviewquestions #interview #employeequestion #analytical #sql ""
""""
""Kindly do follow back my medium profile too...""
""https://lnkd.in/gsK_hQqJ""
""""
""Sources:- databricks""
""Question credits :- anonymous interviewer",,,MEMBER_NETWORK
2023-03-03 02:20:43,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A12057217-7037245375497334787,"Python tip:-""
""""
""Convert the list of string to list of letters:-""
""""
""#python #linkedinfamily #community #pythonforeverybody #python #pythonprogramminglanguage Python Software Foundation Python Development #datamarias #datamarians DataMarias #development #software #saiwritings #linkedin #databricks #sparkbyexamples""
""#pyspark #spark #etl #bigdata #bigdataengineer #PySpark #Python #Programming #Spark #BigData #DataEngeering #ETL #saiwritings #mediumwriters #blogger #medium #pythontip #list #strings #datatypes ""
""",,,MEMBER_NETWORK
2023-03-03 02:20:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7037245301249753088,"Python tip:-""
""""
""Convert the list of string to list of letters:-""
""""
""#python #linkedinfamily #community #pythonforeverybody #python #pythonprogramminglanguage Python Software Foundation Python Development #datamarias #datamarians DataMarias #development #software #saiwritings #linkedin #databricks #sparkbyexamples""
""#pyspark #spark #etl #bigdata #bigdataengineer #PySpark #Python #Programming #Spark #BigData #DataEngeering #ETL #saiwritings #mediumwriters #blogger #medium #pythontip #list #strings #datatypes ""
""",,,MEMBER_NETWORK
2023-01-07 01:38:37,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7017303447314042880,"Python Interview Series questions-2""
""""
""Different ways of removing duplicates from list datatype using Python""
""""
""#python #linkedinfamily #community #pythonforeverybody #python #pythonprogramminglanguage""
""Python Software Foundation Python Development Group #datamarias #datamarians DataMarias #development #software #saiwritings #removeduplicates #interview ",,,MEMBER_NETWORK
2023-01-05 15:26:53,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A12024092-7016787112939180032,"SQL Interview Questions Series-""
""""
""We need to find out the highest average salary from department""
""""
""Solution in the comment section Below:- 👇 ""
""Note: if any change in question will discuss in comments .. as we cant edit the shared post..""
""#sql #interviewprep #sqlinterviewquestions""
""#interview #interviewpreparation #sqldeveloper #plsql""
""#datamarias #datamarians DataMarias #saiwritings",,,MEMBER_NETWORK
2023-01-05 15:26:32,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7016787026125496320,"SQL Interview Questions Series-""
""""
""We need to find out the highest average salary from department""
""""
""Solution in the comment section Below:- 👇 ""
""Note: if any change in question will discuss in comments .. as we cant edit the shared post..""
""#sql #interviewprep #sqlinterviewquestions""
""#interview #interviewpreparation #sqldeveloper #plsql""
""#datamarias #datamarians DataMarias #saiwritings",,,MEMBER_NETWORK
2022-12-04 10:24:51,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7005114692889178112,"https://lnkd.in/gbWjRnC8""
""""
""Working with JSON data using PySpark series-2""
""""
""#python #linkedinfamily #community #pythonforeverybody #python #pythonprogramminglanguage Python Software Foundation Python Development Group #datamarias #datamarians DataMarias #development #software #saiwritings #linkedin #databricks #sparkbyexamples""
""#pyspark #spark #etl #bigdata #bigdataengineer #PySpark #Python #Programming #Spark #BigData #DataEngeering #ETL #saiwritings #mediumwriters #blogger #medium #interviewquestions #interview ""
""""
""Kindly do follow back my medium profile too...""
""https://lnkd.in/gsK_hQqJ""
""""
""Sources:- databricks ""
""Question credits :- Maheer Basha Shaik Thankyou ""
""",,,MEMBER_NETWORK
2022-11-22 14:58:03,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7000834792325885952,"Hi everyone - I am looking for a new role and would appreciate your support. Thank you in advance for any connections, advice, or opportunities you can offer. #OpenToWork",,,MEMBER_NETWORK
2022-09-18 13:56:53,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6977264184254218240,"Pyspark tip:-""
""""
""Capitalize the First letter of each word in a sentence in Pyspark...avoid UDF!....""
""""
""#python #linkedinfamily #community #pythonforeverybody #python #pythonprogramminglanguage Python Software Foundation Python Development #capitalize #udf #avoid Group #datamarias #datamarians DataMarias #development #software #saiwritings #linkedin #databricks #sparkbyexamples""
""#pyspark #spark #etl #bigdata #bigdataengineer #PySpark #Python #Programming #Spark #BigData #DataEngeering #ETL #saiwritings #mediumwriters #blogger #medium #pythontip",,,MEMBER_NETWORK
