Date,Link,OptionText
2023-03-29 16:04:05,https://www.linkedin.com/feed/update/urn:li:ugcPost:7044995982702329856,Yes
2023-03-29 16:03:02,https://www.linkedin.com/feed/update/urn:li:ugcPost:7046785196712488960,Hybrid Work 🏠🏢
2023-03-28 08:01:15,https://www.linkedin.com/feed/update/urn:li:ugcPost:7046368537036079104,YES
2023-03-27 14:45:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:7045974649033150464,CountByValue()
2023-03-26 09:11:15,https://www.linkedin.com/feed/update/urn:li:groupPost:25827-7045582290206273536,nic
2023-03-24 06:15:29,https://www.linkedin.com/feed/update/urn:li:ugcPost:7043086564226174976,All of the above
2023-03-24 06:15:18,https://www.linkedin.com/feed/update/urn:li:ugcPost:7044166878289616896,SparkSession
2023-03-24 06:15:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:7044532238004219904,SparkSession
2023-03-24 02:32:17,https://www.linkedin.com/feed/update/urn:li:ugcPost:7044711399809298432,Centralized
2023-03-18 14:40:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:7042371449428353024,No
2023-03-17 05:23:44,https://www.linkedin.com/feed/update/urn:li:ugcPost:7042271304955179008,No need to commute
2023-03-12 06:18:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:7040550667597332480,Yes
2023-03-03 21:09:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:7037461276117065728,27-inch 
2023-03-03 14:42:31,https://www.linkedin.com/feed/update/urn:li:ugcPost:7037382100999618560,Not Null
2023-03-03 03:48:47,https://www.linkedin.com/feed/update/urn:li:ugcPost:7036293404569317377,Log4J
2023-03-03 02:32:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:7035822399862296576,True
2023-02-24 13:01:00,https://www.linkedin.com/feed/update/urn:li:ugcPost:7034826779865362432,Kubectl get pod -A
2023-02-23 17:13:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:7034485141657853952,Scala
